Tamaños;MSRS;MSIS;MSRP;MSIP;MSIP_Optimizado
100;62237;58612;297175;283987;
162;49050;42712;268162;321487;
264;49187;35412;265125;267875;
428;87975;54525;337825;311300;
695;92825;78600;348125;473737;
1129;207725;121625;577950;646737;
1833;399400;230337;673850;995775;
2976;551625;399462;924637;1269212;
4833;811050;659412;979587;1540900;
7848;1200525;818212;1381050;2451862;
12743;1822400;1282062;1829737;4693937;
20691;2724300;1691525;1780875;9866037;
33598;4086075;2727750;2104050;13452737;
54556;7130687;44534
