Algorithm,Array Size,Execution Times,Average Time
MSRS,100,11954600;102500;83400;65500;44600;33000;23300;41700;24600;25800,52637
MSIS,100,165900;75900;58900;48200;29700;37500;50600;31100;33000;56100,48912
MSRP,100,1302600;202500;165400;250200;218900;252500;332100;209600;216900;225800,238562
MSIP,100,12891200;6826900;7044100;7014200;6443300;5737300;6223300;5327800;4782500;5878600,6311937
MSRS,162,61200;67500;76100;52000;38000;68200;39400;41500;34600;47300,51887
MSIS,162,68700;43600;52800;38800;55900;98400;80600;63300;72100;42900,59987
MSRP,162,333200;285700;264900;247600;271400;332900;263500;228200;229400;337800,278575
MSIP,162,7392200;6468800;10928500;7121000;6227200;6581900;6819800;6037100;6157900;6659000,6678475
MSRS,264,50800;74800;40000;67200;42600;48600;67000;47900;48400;43600,52012
MSIS,264,273300;177200;187700;81400;52500;46400;43600;43700;91500;44100,90562
MSRP,264,224600;418300;235100;220700;235700;449900;297500;199300;336800;225800,274312
MSIP,264,10106000;9011200;8291600;8840000;8449800;7753700;8183400;9904500;9561100;7968800,8776300
MSRS,428,52000;92700;61200;115400;72500;50900;97500;104400;97400;55800,79187
MSIS,428,129900;64600;67400;63200;62300;74900;66100;64200;63700;63900,66000
MSRP,428,256000;258200;232100;225400;231500;249300;219700;260000;267000;217800,241525
MSIP,428,11152900;10284800;9811800;10053100;10424500;10097300;10137400;10553000;11813400;12184800,10564550
MSRS,695,78900;156600;171100;153800;213500;74900;137600;79100;238400;153200,142975
MSIS,695,190600;178800;205800;205200;212300;101100;107500;181600;173200;195800,179812
MSRP,695,410600;452300;435000;359400;472400;318300;320100;450700;305300;506800,402350
MSIP,695,16266700;12986600;15649400;16447600;13450000;15647000;17741800;16541700;16727400;18938200,16058950
MSRS,1129,248300;231000;248800;213400;119600;169500;270700;275600;274100;267700,240437
MSIS,1129,291900;292600;139000;288300;288200;298100;267000;311500;137000;304800,271237
MSRP,1129,624700;351600;598400;366400;654200;601800;625900;463800;610100;359200,531287
MSIP,1129,26568300;25250300;25474900;26061000;24171600;24720400;24123600;26514100;26318700;26261000,25596500
MSRS,1833,383300;182600;419500;304500;425100;179300;181600;189200;425000;425100,313850
MSIS,1833,462300;456400;215500;627600;505600;407400;491900;214900;214200;507400,407675
MSRP,1833,702500;446700;392900;422000;665300;757700;672100;371100;374300;435400,513900
MSIP,1833,40122800;39470700;36992300;40717200;36435700;41264600;39032100;37370000;37405200;37922100,38629050
MSRS,2976,286900;651800;755400;669800;675000;520200;586000;335000;640900;286200,545700
MSIS,2976,681200;740800;766100;745400;483600;712900;452400;185700;369000;422900,576025
MSRP,2976,885500;972400;559100;881400;790200;572100;870100;856700;532000;532300,743425
MSIP,2976,59895900;56946200;55961800;56019000;56372200;64440100;58163300;58162900;57427200;58043700,57628800
MSRS,4833,962900;1103800;1009000;963700;859900;1085400;465800;1050100;461700;1020900,927212
MSIS,4833,709600;296600;631300;301800;548200;444700;653500;933900;636600;836900,595325
MSRP,4833,731100;688400;722500;1272300;1552700;757200;781200;885000;1163900;1507500,977587
MSIP,4833,96315900;93960900;96284000;96790300;96091500;87714900;91650900;91567800;88314900;87867300,92756650
MSRS,7848,1118300;1318400;909700;1312500;773100;767500;1259500;785200;1601900;767400,1030525
MSIS,7848,697900;484400;520700;555200;1065100;1084200;726000;490900;492300;523500,633950
