,10,100,1000,10000,100000,1000000
2,691775,581512,619262,620475,724462,647412,0,0,0
4,3745475,1336300,1382750,1402925,1563125,1447850,0,0,0
8,4535400,2089537,2185737,2213150,2446175,2237775,0,0,0
16,-1,2806050,2964475,3052987,3279437,3066412,0,0,0
32,0,3538462,3682850,3835400,4119075,3940737,0,0,0
64,0,4255837,4428862,4641412,4981025,4722425,0,0,0
128,0,-1,5257487,5497275,5851700,5582587,0,0,0
256,0,0,6086825,6352962,6767887,6450475,0,0,0
512,0,0,6812325,7206212,7641212,7316687,0,0,0
1024,0,0,-1,8019275,8556062,8061962,0,0,0
2048,0,0,0,8902900,9422100,8895075,0,0,0
4096,0,0,0,9768650,10291512,9691750,0,0,0
8192,0,0,0,10546600,11125212,10572525,0,0,0
16384,0,0,0,-1,12010062,11416312,0,0,0
32768,0,0,0,0,12838225,12296712,0,0,0
65536,0,0,0,0,13682037,13100262,0,0,0
131072,0,0,0,0,-1,13891562,0,0,0
262144,0,0,0,0,0,14712187,0,0,0
524288,0,0,0,0,0,15539362,0,0,0
1048576,0,0,0,0,0,-1,0,0,0
2097152,0,0,0,0,0,0,0,0,0
4194304,0,0,0,0,0,0,0,0,0
8388608,0,0,0,0,0,0,0,0,0
16777216,0,0,0,0,0,0,0,0,0
33554432,0,0,0,0,0,0,0,0,0
67108864,0,0,0,0,0,0,0,0,0
134217728,0,0,0,0,0,0,0,0,0
268435456,0,0,0,0,0,0,0,0,0
536870912,0,0,0,0,0,0,0,0,0
