;10;5206;2300;427800;427800;5900;5800;5900;3600;5200;4900;4900;3000;3300;8500;4800;4100;6300;8200;8600;6200;5200;3800;5300;4700;3800;3200;6000;3900;3100;4900;6800;13600;5100;2600;4900;6800;7600;4300;4100;6900;6200;5000;4900;4900;4600;2900;4500;5100;4200;2700;4000;2300;5100
;45;10087;4900;45100;8600;8300;9100;7700;8500;7000;8700;11100;8200;6700;8200;8300;5800;4900;9600;6400;7200;8200;8900;10800;9100;10400;9100;6500;8200;9100;8700;9900;8800;8600;9600;24500;10500;9600;9500;10300;10200;8800;6400;45100;13900;16900;29000;22100;9900;8800;8400;13400;9300;7400
;100;6852;3600;18100;11600;11200;10300;10000;10400;9700;9300;11000;18100;12400;10800;11600;10500;12500;6200;5300;6700;6200;6000;5100;4800;4300;3600;5100;4800;4400;7500;4800;4900;4600;5700;5300;4200;4900;5500;5400;6200;5500;5600;5200;4300;5300;5300;4900;5800;5400;5700;5600;5600;5500
;450;22329;17000;30600;21400;22300;18800;21600;20800;21700;20200;22400;23400;22100;28700;22200;22000;21500;20000;22500;18800;19700;21200;19500;21600;19100;28600;22200;21200;22300;22200;22900;22300;30600;29300;22400;21900;25500;30100;30300;21700;24200;22600;21600;21100;17800;17000;22800;23300;21500;22500;21900;18200;19900
;1000;49668;44700;93900;50600;51000;51900;49900;49700;52300;51400;50400;49100;48700;50200;49800;51200;59100;50600;51000;50000;51000;49500;52600;46500;93900;51000;50700;50800;49600;50900;53500;47500;60900;47600;46500;46700;48100;48000;47800;47600;44700;45800;45800;49600;47900;46400;47200;46800;49100;51000;46500;46900;47400
;4500;249454;239200;266300;266300;254900;254700;247100;249600;252100;255600;256500;251400;257900;251000;248000;246200;248200;253800;254000;252200;249800;245000;251100;251400;250100;247200;248200;247100;247700;252600;246000;254100;253900;246100;245300;249700;247600;242600;255300;252400;252500;252200;256700;241600;241900;251100;242300;239200;244200;243000;239800;241200;250900
;10000;575008;560000;594600;577300;576200;566500;565400;561700;574800;582700;571000;583600;570100;564300;572900;573900;568500;568500;568000;565400;568500;576400;566200;566800;571300;594600;568800;568700;582500;573500;581500;581000;567700;568100;585400;582600;577800;577400;576400;581500;560000;575300;581100;575600;574100;591600;576800;583200;578900;591600;584800;582100;572400
;45000;2753716;2676100;2987100;2810900;2772400;2754600;2758500;2782600;2716700;2737400;2748100;2773700;2789300;2760400;2805800;2710200;2773100;2721600;2743000;2745500;2755900;2734700;2764600;2764100;2790900;2754700;2716200;2697800;2702600;2707200;2715500;2676100;2686700;2702000;2694400;2792700;2715200;2741200;2757200;2738200;2775600;2738800;2758200;2981400;2755200;2751300;2745800;2774200;2809200;2711000;2801700;2740400;2987100
;100000;6278958;6167100;6772000;6415800;6459500;6712400;6600900;6270000;6204800;6277000;6242900;6191200;6219200;6259600;6208700;6205200;6174700;6184300;6209100;6206300;6212600;6249000;6200800;6285200;6322400;6258200;6353800;6221900;6247600;6255900;6232600;6247600;6167100;6290900;6239300;6231700;6247800;6183500;6207100;6252200;6182000;6256600;6238000;6290200;6223700;6215300;6394200;6446300;6409400;6772000;6356900;6308500;6287200
;450000;29789262;29258900;32527600;29647700;29947600;29473900;29555300;29731000;29996100;29784400;29850300;29540200;29563000;29418700;29741000;29388300;29638900;29763400;29637100;30168000;29615800;30072900;30352100;29564600;30312600;29437200;29897800;29609500;29628600;29640800;30452900;29669600;29753800;29258900;29982600;29300700;29933000;30233400;30565100;30323300;30630600;29477000;30375400;30028300;32527600;29415400;29590200;29566200;29632200;29345400;29607700;29352600;29672400
;1000000;68359720;67455300;70645100;67850900;69281800;67875700;68600400;68660800;68237900;69675300;68525600;67570800;69172000;67716200;68656100;67755700;68541500;67656600;70016600;67788000;68558600;68910600;68132200;70645100;68543000;67573000;67814200;67849800;67774600;67455300;67964400;68664000;69990800;69298000;68234500;67581000;68015100;67643400;69121500;67640100;68190600;67539700;67761300;68747000;68255900;68115200;67924200;67654800;69810900;68220700;68278200;67877800;69999600
;4500000;326648389;325084100;336544600;325706100;336544600;326226100;326325400;327207100;326153600;325626600;329782500;326853900;325891500;326576500;325390800;325971700;326101800;325344700;326453600;326813800;333358700;325440600;326137600;327858000;325139700;326245400;325404100;325239400;331093400;325257900;325330200;334691100;326131700;325587300;326167100;325980600;326045600;326145300;325626800;326176900;326828900;325206600;325234800;325945200;325649000;325084100;325778700;326932000;325137000;329106900;326133900;325456500;330230100
;10000000;739327791;734089600;754369200;736218700;753285300;739541200;739044200;735926100;737779900;738702800;736477600;736953300;736330100;736756200;737665900;746318400;738530400;746905600;736250100;752986700;739975000;748231700;738745300;736824100;734962800;736578400;736276100;741548200;742386500;754369200;738651300;737546400;737620500;741887900;735940900;734089600;738459600;739266700;738535600;738427500;739139800;737957400;738977800;738126200;744179100;738304900;738476100;736308800;739395300;736027800;739050500;736576800;737676500
;45000000;3496779897;3458274400;3537565700;3464630300;3470597600;3470776700;3522939500;3458274400;3527326400;3462894200;3517833300;3481316600;3516129100;3473060600;3516471700;3469346400;3524262300;3461740600;3529380800;3504250600;3514884500;3488038500;3521846700;3461331700;3515488400;3460898600;3521701600;3484174300;3526818800;3478794800;3526545600;3479191300;3535994400;3467471800;3519807800;3458608100;3517847400;3481359100;3520413900;3461208600;3519630700;3462861800;3519965000;3468187400;3532874200;3460528500;3515204900;3490107100;3537565700;3509468400;3511208200;3467189500;3532826800
